City,Population Density (Persons/Square Mile),2016 Population,Land Area (Square Miles)
"Montgomery, Alabama","1,254","200,022",160
"Amarillo, Texas","2,006","199,582",99
"Little Rock, Arkansas","1,666","198,541",119
"Akron, Ohio","3,186","197,633",62
"Columbus, Georgia",913,"197,485",216
"Augusta-Richmond County, Georgia",652,"197,081",302
"Grand Rapids, Michigan","4,424","196,445",44
"Shreveport, Louisiana","1,850","194,920",105
"Salt Lake City, Utah","1,744","193,744",111
"Huntsville, Alabama",924,"193,079",209
"Mobile, Alabama","1,387","192,904",139
"Tallahassee, Florida","1,904","190,894",100
"Grand Prairie, Texas","2,645","190,682",72
"Overland Park, Kansas","2,525","188,966",75
"Knoxville, Tennessee","1,890","186,239",99
"Port St. Lucie, Florida","1,625","185,132",114
"Worcester, Massachusetts","4,937","184,508",37
"Brownsville, Texas","1,389","183,823",132
"Tempe, Arizona","4,570","182,498",40
"Santa Clarita, California","3,452","181,972",53
"Newport News, Virginia","2,646","181,825",69
"Cape Coral, Florida","1,702","179,804",106
"Providence, Rhode Island","9,740","179,219",18
"Fort Lauderdale, Florida","5,141","178,752",35
"Chattanooga, Tennessee","1,295","177,571",137
"Rancho Cucamonga, California","4,430","176,534",40
"Oceanside, California","4,256","175,464",41
"Santa Rosa, California","4,242","175,155",41
"Garden Grove, California","9,747","174,858",18
"Vancouver, Washington","3,763","174,826",46
"Sioux Falls, South Dakota","2,390","174,360",73
"Ontario, California","3,468","173,212",50
"McKinney, Texas","2,770","172,298",62
"Elk Grove, California","4,023","169,743",42
"Jackson, Mississippi","1,523","169,148",111
"Pembroke Pines, Florida","5,090","168,587",33
"Salem, Oregon","3,495","167,419",48
"Springfield, Missouri","2,047","167,319",82
"Corona, California","4,295","166,785",39
"Eugene, Oregon","3,810","166,575",44
"Fort Collins, Colorado","3,025","164,207",54
"Peoria, Arizona",941,"164,173",174
"Frisco, Texas","2,648","163,656",62
"Cary, North Carolina","2,987","162,320",54
"Lancaster, California","1,698","160,106",94
"Hayward, California","3,507","158,937",45
"Palmdale, California","1,485","157,356",106
"Salinas, California","6,782","157,218",23
"Alexandria, Virginia","10,367","155,810",15
"Lakewood, Colorado","3,601","154,393",43
"Springfield, Massachusetts","4,834","154,074",32
"Pasadena, Texas","3,586","153,351",43
"Sunnyvale, California","6,947","152,771",22
"Pomona, California","6,645","152,494",23
"Hollywood, Florida","5,553","151,998",27
"Kansas City, Kansas","1,216","151,709",125
"Escondido, California","4,119","151,613",37
"Clarksville, Tennessee","1,540","150,287",98
"Joliet, Illinois","2,387","148,262",62
"Rockford, Illinois","2,417","147,651",61
"Torrance, California","7,187","147,195",20
"Naperville, Illinois","3,795","147,122",39
"Paterson, New Jersey","17,438","147,000",8
"Savannah, Georgia","1,423","146,763",103
"Bridgeport, Connecticut","9,138","145,936",16
"Mesquite, Texas","3,123","143,736",46
"Killeen, Texas","2,676","143,400",54
"Syracuse, New York","5,726","143,378",25
"McAllen, Texas","2,942","142,212",48
"Pasadena, California","6,185","142,059",23
"Bellevue, Washington","4,423","141,400",32
"Fullerton, California","6,296","140,721",22
"Orange, California","5,665","140,504",25
"Dayton, Ohio","2,525","140,489",56
"Miramar, Florida","4,690","138,449",30
"Thornton, Colorado","3,924","136,703",35
"West Valley City, Utah","3,841","136,574",36
"Olathe, Kansas","2,271","135,473",60
"Hampton, Virginia","2,634","135,410",51
"Warren, Michigan","3,930","135,125",34
"Midland, Texas","1,868","134,610",72
"Waco, Texas","1,511","134,432",89
"Charleston, South Carolina","1,233","134,385",109
"Columbia, South Carolina","1,016","134,309",132
"Denton, Texas","1,521","133,808",88
"Carrollton, Texas","3,674","133,351",36
"Surprise, Arizona","1,255","132,677",106
"Roseville, California","3,663","132,671",36
"Sterling Heights, Michigan","3,628","132,427",37
"Murfreesboro, Tennessee","2,384","131,947",55
"Gainesville, Florida","2,147","131,591",61
"Cedar Rapids, Iowa","1,852","131,127",71
"Visalia, California","3,616","131,074",36
"Coral Springs, Florida","5,467","130,059",24
"New Haven, Connecticut","6,956","129,934",19
"Stamford, Connecticut","3,430","129,113",38
"Thousand Oaks, California","2,342","128,888",55
"Concord, California","4,214","128,726",31
"Elizabeth, New Jersey","10,442","128,640",12
"Lafayette, Louisiana","2,592","127,626",49
"Kent, Washington","4,454","127,514",29
"Topeka, Kansas","2,107","126,808",60
"Simi Valley, California","3,045","126,327",41
"Santa Clara, California","6,841","125,948",18
"Athens-Clarke County, Georgia","1,060","123,371",116
"Hartford, Connecticut","7,091","123,243",17
"Victorville, California","1,671","122,265",73
"Abilene, Texas","1,145","122,225",107
"Norman, Oklahoma",683,"122,180",179
"Vallejo, California","3,955","121,299",31
"Berkeley, California","11,580","121,240",10
"Round Rock, Texas","3,544","120,892",34
"Ann Arbor, Michigan","4,340","120,782",28
"Fargo, North Dakota","2,474","120,762",49
"Columbia, Missouri","1,912","120,612",63
"Allentown, Pennsylvania","6,863","120,443",18
"Evansville, Indiana","2,706","119,477",44
"Beaumont, Texas","1,429","118,299",83
"Odessa, Texas","2,810","117,871",42
"Wilmington, North Carolina","2,282","117,525",51
"Arvada, Colorado","3,342","117,453",35
"Independence, Missouri","1,509","117,030",78
"Provo, Utah","2,805","116,868",42
"Lansing, Michigan","3,218","116,020",36
"El Monte, California","12,114","115,807",10
"Springfield, Illinois","1,945","115,715",59
"Fairfield, California","3,069","114,756",37
"Clearwater, Florida","4,474","114,361",26
"Peoria, Illinois","2,380","114,265",48
"Rochester, Minnesota","2,088","114,011",55
"Carlsbad, California","3,021","113,952",38
"Westminster, Colorado","3,609","113,875",32
"West Jordan, Utah","3,503","113,699",32
"Pearland, Texas","2,415","113,570",47
"Richardson, Texas","3,969","113,347",29
"Downey, California","9,127","113,267",12
"Miami Gardens, Florida","6,202","113,058",18
"Temecula, California","3,750","113,054",30
"Costa Mesa, California","7,209","112,822",16
"College Station, Texas","2,268","112,141",49
"Elgin, Illinois","3,017","112,123",37
"Murrieta, California","3,326","111,674",34
"Gresham, Oregon","4,807","111,523",23
"High Point, North Carolina","2,067","111,223",54
"Antioch, California","3,912","110,898",28
"Inglewood, California","12,200","110,654",9
"Cambridge, Massachusetts","17,316","110,651",6
"Lowell, Massachusetts","8,141","110,558",14
"Manchester, New Hampshire","3,339","110,506",33
"Billings, Montana","2,541","110,323",43
"Pueblo, Colorado","2,056","110,291",54
"Palm Bay, Florida","1,676","110,104",66
"Centennial, Colorado","3,828","109,932",29
"Richmond, California","3,652","109,813",30
"San Buenaventura, California","5,062","109,592",22
"Pompano Beach, Florida","4,558","109,393",24
"North Charleston, South Carolina","1,493","109,298",73
"Everett, Washington","3,260","109,043",33
"Waterbury, Connecticut","3,796","108,272",29
"West Palm Beach, Florida","1,956","108,161",55
"Boulder, Colorado","4,383","108,090",25
"West Covina, California","6,724","107,847",16
"Broken Arrow, Oklahoma","1,744","107,403",62
"Clovis, California","4,578","106,583",23
"Daly City, California","13,900","106,472",8
"Lakeland, Florida","1,630","106,420",65
"Santa Maria, California","4,670","106,290",23
"Norwalk, California","10,935","106,178",10
"Sandy Springs, Georgia","2,808","105,703",38
"Hillsboro, Oregon","4,400","105,164",24
"Green Bay, Wisconsin","2,312","105,139",45
"Tyler, Texas","1,946","104,798",54
"Wichita Falls, Texas","1,452","104,724",72
"Lewisville, Texas","2,875","104,659",36
"Burbank, California","6,023","104,447",17
"Greeley, Colorado","2,234","103,990",47
"San Mateo, California","8,570","103,959",12
"El Cajon, California","7,191","103,768",14
"Rialto, California","4,623","103,314",22
"Davenport, Iowa","1,630","102,612",63
"League City, Texas","1,989","102,010",51
"Davie, Florida","2,920","101,871",35
"Las Cruces, New Mexico","1,330","101,759",76
"South Bend, Indiana","2,454","101,735",41
"Vista, California","5,442","101,659",19
"Renton, Washington","4,366",,
